participant_id,fase,kanal,n_rep,theta_db,theta_se,mu_db,mu_se,beta_db,beta_se,otot_db,otot_se,theta_m2b_db,theta_m2b_se,mu_m2b_db,mu_m2b_se,beta_m2b_db,beta_m2b_se,gerakan,lolos_R2
P09,Buka Mata,C3,1,-4.656,,-2.12,,0.45,,1.6,,-2.767,,-0.23,,2.34,,Semua,True
P09,Buka Mata,C4,1,-3.459,,-3.518,,-2.424,,-2.49,,-0.401,,-0.461,,0.634,,Semua,True
P09,Buka Mata,F3,1,-8.306,,-6.875,,-3.168,,-2.101,,-2.302,,-0.871,,2.836,,Semua,True
P09,Buka Mata,F4,1,-5.978,,-3.369,,-2.547,,-1.592,,-1.56,,1.049,,1.871,,Semua,True
P09,Buka Mata,F7,1,-2.707,,-1.162,,0.648,,1.474,,-1.408,,0.137,,1.947,,Semua,True
P09,Buka Mata,F8,1,-2.602,,-0.445,,0.096,,0.658,,-1.208,,0.949,,1.49,,Semua,True
P09,Buka Mata,Fp1,1,-3.699,,-1.906,,0.583,,1.124,,-2.601,,-0.808,,1.682,,Semua,True
P09,Buka Mata,Fp2,1,-0.334,,-0.176,,0.324,,0.534,,-0.181,,-0.023,,0.477,,Semua,True
P09,Buka Mata,O1,1,-6.931,,-6.586,,-5.645,,-5.203,,-0.486,,-0.14,,0.801,,Semua,True
P09,Buka Mata,O2,1,-5.999,,-5.86,,-4.731,,-4.507,,-0.446,,-0.308,,0.821,,Semua,True
P09,Buka Mata,P3,1,-2.728,,-1.817,,1.487,,1.423,,-2.095,,-1.184,,2.12,,Semua,True
P09,Buka Mata,P4,1,-7.87,,-6.885,,-5.629,,-5.077,,-0.939,,0.046,,1.302,,Semua,True
P09,Buka Mata,T3,1,-5.166,,-4.7,,-2.936,,-1.962,,-1.155,,-0.689,,1.075,,Semua,True
P09,Buka Mata,T4,1,-5.002,,-3.269,,-1.45,,-0.329,,-1.318,,0.415,,2.234,,Semua,True
P09,Buka Mata,T5,1,-4.968,,-4.361,,-1.825,,-0.867,,-1.423,,-0.815,,1.72,,Semua,True
P09,Buka Mata,T6,1,-3.007,,-3.317,,0.877,,2.282,,-0.89,,-1.2,,2.994,,Semua,True
P09,Gerak,C3,8,-2.34,0.711,-1.925,1.093,-0.595,0.569,0.545,0.649,-0.881,0.374,-0.467,0.705,0.864,0.367,Semua,True
P09,Gerak,C4,8,0.325,1.47,-0.634,1.326,-1.202,0.711,-0.963,0.562,0.177,0.582,-0.783,1.409,-1.35,0.875,Semua,True
P09,Gerak,F3,8,-7.075,0.875,-4.984,1.448,-2.688,0.621,-1.296,0.74,-2.386,0.463,-0.295,1.101,2.002,0.511,Semua,True
P09,Gerak,F4,10,-1.802,1.164,-1.353,0.993,-0.558,1.065,-0.342,0.95,-0.57,0.289,-0.121,0.545,0.674,0.505,Semua,True
P09,Gerak,F7,9,2.053,0.765,2.143,0.795,0.686,0.573,0.435,0.404,0.161,0.256,0.251,0.529,-1.206,0.407,Semua,True
P09,Gerak,F8,5,-1.81,1.505,-0.097,0.699,-0.461,0.957,0.448,1.212,-0.892,0.727,0.822,0.673,0.457,0.498,Semua,True
P09,Gerak,Fp1,10,-1.053,1.126,-0.978,0.538,0.677,0.706,0.524,1.08,-1.3,0.912,-1.225,0.557,0.429,0.713,Semua,True
P09,Gerak,Fp2,10,0.542,1.442,0.19,1.009,0.451,0.837,0.815,0.76,-0.27,0.489,-0.622,0.782,-0.361,0.731,Semua,True
P09,Gerak,O1,8,-3.371,1.724,-2.878,1.478,-1.927,1.254,-1.588,1.245,-0.955,0.638,-0.461,0.776,0.49,0.695,Semua,True
P09,Gerak,O2,10,-1.849,1.176,-1.38,0.623,-3.023,1.099,-2.343,0.965,0.017,0.271,0.486,0.581,-1.157,0.495,Semua,True
P09,Gerak,P3,8,-1.257,1.409,-0.179,0.739,0.312,0.886,1.062,0.714,-1.299,0.863,-0.222,0.572,0.269,0.851,Semua,True
P09,Gerak,P4,9,-2.472,1.257,-0.583,0.886,-2.842,1.148,-2.518,0.977,-0.763,0.627,1.126,0.685,-1.134,0.709,Semua,True
