participant_id,kind,task,rep,phase,t0,channel,ptp_uv,flat_frac,clipping,label
P08,gerak,NGEED,1.0,TAHAN,11.68,F8,42.1,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,11.68,T4,36.3,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,11.68,T6,8.7,0.78,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,Fp1,162.8,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TAHAN,12.68,F3,45.2,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,12.68,C3,16.3,0.62,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,P3,0.8,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,O1,120.8,0.0,False,tinggi
P08,gerak,NGEED,1.0,TAHAN,12.68,F7,92.1,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,12.68,T3,96.6,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,12.68,T5,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,Fp2,63.2,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,12.68,F4,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,C4,0.3,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,P4,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,O2,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,F8,13.8,0.78,False,datar
P08,gerak,NGEED,1.0,TAHAN,12.68,T4,28.7,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,12.68,T6,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,Fp1,345.0,0.0,False,ekstrem
P08,gerak,NGEED,1.0,NAIK,13.45,F3,123.4,0.0,False,tinggi
P08,gerak,NGEED,1.0,NAIK,13.45,C3,87.2,0.0,False,ok
P08,gerak,NGEED,1.0,NAIK,13.45,P3,66.1,0.45,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,O1,187.5,0.0,False,ekstrem
P08,gerak,NGEED,1.0,NAIK,13.45,F7,171.6,0.0,False,ekstrem
P08,gerak,NGEED,1.0,NAIK,13.45,T3,178.8,0.0,False,ekstrem
P08,gerak,NGEED,1.0,NAIK,13.45,T5,0.3,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,Fp2,110.4,0.0,False,tinggi
P08,gerak,NGEED,1.0,NAIK,13.45,F4,0.3,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,C4,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,P4,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,O2,0.3,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,F8,26.9,1.0,False,datar
P08,gerak,NGEED,1.0,NAIK,13.45,T4,51.1,0.0,False,ok
P08,gerak,NGEED,1.0,NAIK,13.45,T6,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,POST,15.75,Fp1,4.7,0.85,False,datar
P08,gerak,NGEED,1.0,POST,15.75,F3,176.7,0.0,False,ekstrem
P08,gerak,NGEED,1.0,POST,15.75,C3,155.2,0.0,False,ekstrem
P08,gerak,NGEED,1.0,POST,15.75,P3,122.4,0.0,False,tinggi
P08,gerak,NGEED,1.0,POST,15.75,O1,163.0,0.0,False,ekstrem
P08,gerak,NGEED,1.0,POST,15.75,F7,153.7,0.0,False,ekstrem
P08,gerak,NGEED,1.0,POST,15.75,T3,165.1,0.0,False,ekstrem
P08,gerak,NGEED,1.0,POST,15.75,T5,55.5,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,Fp2,133.5,0.0,False,tinggi
P08,gerak,NGEED,1.0,POST,15.75,F4,57.8,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,C4,53.8,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,P4,39.5,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,O2,50.0,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,F8,85.9,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,T4,66.0,0.0,False,ok
P08,gerak,NGEED,1.0,POST,15.75,T6,48.2,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,19.75,Fp1,167.5,0.0,False,ekstrem
P08,gerak,NGEED,2.0,PRA,19.75,F3,19.2,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,C3,0.3,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,P3,0.2,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,O1,92.2,0.55,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,F7,67.8,0.4,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,T3,99.7,0.4,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,T5,19.1,0.65,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,Fp2,56.4,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,19.75,F4,11.4,0.45,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,C4,26.8,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,19.75,P4,18.4,0.05,False,ok
P08,gerak,NGEED,2.0,PRA,19.75,O2,19.7,0.25,False,datar
P08,gerak,NGEED,2.0,PRA,19.75,F8,57.0,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,19.75,T4,31.9,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,19.75,T6,18.1,0.25,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,Fp1,147.3,0.0,False,tinggi
P08,gerak,NGEED,2.0,PRA,20.75,F3,36.1,0.35,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,C3,0.7,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,P3,0.5,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,O1,126.4,0.0,False,tinggi
P08,gerak,NGEED,2.0,PRA,20.75,F7,101.8,0.0,False,tinggi
P08,gerak,NGEED,2.0,PRA,20.75,T3,123.9,0.0,False,tinggi
P08,gerak,NGEED,2.0,PRA,20.75,T5,0.1,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,Fp2,49.4,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,20.75,F4,0.1,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,C4,17.3,0.65,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,P4,4.0,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,O2,0.9,1.0,False,datar
P08,gerak,NGEED,2.0,PRA,20.75,F8,37.7,0.0,False,ok
