participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,gerak,NGEED,4.0,TURUN,295.14,297.42,2.28,7.43,8.46,5.13,4.18,10.74,9.18,6.71,5.92,6.92,-4.08,13.38,7.86,13.15,3.18,4.64,9.59,-2.19,-1.79,-0.82,-0.79,4.35,-2.82,-0.21,-0.56,0.44,-2.9,4.66,5.13,5.28,-0.01,1.75,1.27
P08,gerak,NGEED,4.0,TAHAN,296.92,303.43,6.51,-4.84,3.32,2.36,1.38,-1.8,-0.54,-1.76,-4.18,-1.69,-0.3,2.0,0.76,0.51,-2.91,-2.94,0.45,-4.09,-0.48,0.67,1.31,1.02,-0.42,0.69,-1.69,0.25,1.86,3.99,4.7,5.32,0.05,4.3,0.81
P08,gerak,NGEED,4.0,NAIK,302.93,304.73,1.79,-3.52,2.57,1.0,1.09,-1.03,-0.71,-1.73,-6.68,-4.06,-6.72,0.23,-7.97,1.06,-8.33,-4.88,-0.74,-1.87,-0.19,0.88,2.39,2.95,0.4,2.44,-2.39,-0.82,-0.8,1.84,0.94,-1.42,-3.02,-4.09,-2.02
P08,gerak,NGEED,4.0,POST,305.23,306.73,1.5,5.0,10.31,4.72,4.9,6.68,7.95,6.17,-12.02,3.18,-0.26,2.15,-0.53,0.01,0.89,-1.45,2.32,3.1,4.3,3.71,4.15,6.53,5.69,6.84,-8.06,0.98,1.89,1.75,1.04,1.87,-0.01,-0.65,-4.72
P08,gerak,AGEM KANAN,3.0,PRA,308.86,310.86,2.0,-12.56,-41.52,-44.36,-44.69,-17.37,-42.15,-17.52,-19.58,-7.06,-11.78,-3.94,-3.24,-6.51,-9.99,-10.35,-6.7,-8.12,-88.46,-67.61,-91.01,-9.18,-85.74,-10.91,-16.31,-4.64,-8.21,-1.88,-1.49,-0.28,-6.84,-4.65,-9.78
P08,gerak,AGEM KANAN,3.0,TURUN,310.86,314.19,3.33,13.65,17.57,14.87,15.06,15.43,16.01,12.74,16.73,22.67,18.24,19.61,19.48,21.74,17.35,19.14,25.94,1.35,-3.75,-0.39,-0.27,3.04,2.13,1.4,8.85,5.08,9.63,4.46,7.29,13.75,6.0,5.51,16.78
P08,gerak,AGEM KANAN,3.0,TAHAN,313.69,319.23,5.54,-8.83,0.34,4.13,4.68,-2.87,1.98,-1.64,11.88,7.64,12.34,7.05,10.36,6.15,9.38,3.44,18.48,-12.34,-4.37,-3.26,-2.74,-3.15,-3.93,-3.98,1.75,5.12,13.83,4.76,7.99,13.56,3.98,6.63,4.38
P08,gerak,AGEM KANAN,3.0,NAIK,318.73,321.37,2.64,14.91,21.53,18.72,19.25,14.66,19.02,15.2,19.62,20.83,22.86,16.02,17.23,18.62,19.87,20.09,19.71,6.96,9.91,13.01,13.74,6.91,10.67,9.74,20.99,14.47,18.61,15.3,18.73,22.12,12.0,19.82,20.9
P08,gerak,AGEM KANAN,3.0,POST,321.87,323.37,1.5,-1.56,-28.96,-26.74,-33.17,-4.2,-30.5,-6.42,-26.26,5.84,3.0,3.19,2.41,3.45,3.04,13.06,0.62,-6.17,-68.39,-25.81,-70.48,-2.96,-26.84,-4.81,-35.14,-2.45,0.19,0.97,-1.01,-0.58,-2.11,4.69,-3.88
P08,gerak,AGEM KANAN,4.0,PRA,324.91,326.91,2.0,-45.8,-38.58,-7.74,-15.09,-13.62,-40.26,-27.74,-3.38,-2.54,0.26,0.34,-3.95,-1.14,1.06,-4.03,-1.18,-78.31,-84.33,-12.09,-16.97,-12.73,-69.3,-25.67,-3.93,-4.85,-1.71,-2.05,-0.7,0.01,-5.78,-3.67,-4.1
