participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P32,TE,Tahan,12,83.3,0.51,48.8,4.69,11.6,6.5,100.0,1.31,0.55,T5_CCA_otot
P32,TE,Naik,12,100.0,0.43,54.2,3.7,8.9,7.0,100.0,1.22,0.69,T5_CCA_otot
P32,TE,Berdiri,12,100.0,0.53,54.6,1.97,33.8,10.5,100.0,0.97,0.83,T5_CCA_otot
P32,TE,Gerak,12,100.0,0.52,32.4,4.53,6.1,5.0,81.2,1.58,0.58,T5_regresi_mata
P32,TE,Tahan,12,83.3,0.51,45.8,4.01,11.6,7.0,81.2,1.31,0.6,T5_regresi_mata
P32,TE,Naik,12,100.0,0.43,51.2,2.76,8.9,7.0,87.5,1.34,0.67,T5_regresi_mata
P32,TE,Berdiri,12,100.0,0.53,51.3,1.16,33.8,10.5,87.5,1.02,0.84,T5_regresi_mata
P32,TE,Gerak,12,100.0,0.52,36.1,4.61,6.9,5.5,75.0,1.47,0.53,T5_ICAmata_CCAotot
P32,TE,Tahan,12,83.3,0.51,51.6,4.33,11.6,7.0,93.8,1.3,0.58,T5_ICAmata_CCAotot
P32,TE,Naik,12,100.0,0.43,57.0,3.63,8.9,7.0,100.0,1.22,0.64,T5_ICAmata_CCAotot
P32,TE,Berdiri,12,100.0,0.53,56.9,1.81,35.2,11.0,100.0,0.88,0.84,T5_ICAmata_CCAotot
