frame,t,raw,task,subphase
1724,57.539,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1739,58.039,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1740,58.067,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1741,58.109,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1742,58.137,"AGEM KANAN
NAIK )
",AGEM KANAN,NAIK
1743,58.165,"AGEM KANAN
Q NAIK )
",AGEM KANAN,NAIK
1744,58.206,"AGEM KANAN
",AGEM KANAN,
1746,58.276,"AGEM KANAN
",AGEM KANAN,
1754,58.539,"AGEM KANAN
3
",AGEM KANAN,
1769,59.039,"AGEM KANAN
3
",AGEM KANAN,
1772,59.136,"AGEM KANAN
Y
",AGEM KANAN,
1773,59.164,"AGEM KANAN
2)
NAIK
",AGEM KANAN,NAIK
1774,59.206,"AGEM KANAN
)
NAIK
",AGEM KANAN,NAIK
1776,59.276,"AGEM KANAN
(z)
NAIK
",AGEM KANAN,NAIK
1784,59.539,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1799,60.039,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1802,60.136,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1803,60.164,"AGEM KANAN
(8)
",AGEM KANAN,
1804,60.206,"AGEM KANAN
(2)
",AGEM KANAN,
1806,60.275,"AGEM KANAN
(2)
",AGEM KANAN,
1814,60.539,"AGEM KANAN
",AGEM KANAN,
1829,61.039,"AGEM KANAN
",AGEM KANAN,
1832,61.136,"AGEM KANAN
",AGEM KANAN,
1833,61.164,"se)
8
eT)
",UNKNOWN,
1834,61.206,"BERDIRI RILEKS
",BERDIRI RILEKS,
1836,61.276,"BERDIRI RILEKS
\S x
",BERDIRI RILEKS,
1844,61.539,"BERDIRI RILEKS
a:
",BERDIRI RILEKS,
1859,62.039,"BERDIRI RILEKS
a:
",BERDIRI RILEKS,
1874,62.539,"BERDIRI RILEKS
as
",BERDIRI RILEKS,
1889,63.039,"BERDIRI RILEKS
‘.
",BERDIRI RILEKS,
1904,63.539,"BERDIRI RILEKS
a
",BERDIRI RILEKS,
1919,64.038,"BERDIRI RILEKS
(6)
Nee
",BERDIRI RILEKS,
1934,64.539,"BERDIRI RILEKS
(5 \
Nee
",BERDIRI RILEKS,
1949,65.038,"BERDIRI RILEKS
(5 \
Nee
",BERDIRI RILEKS,
1963,65.51,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
1978,66.011,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
1993,66.506,"BERDIRI RILEKS
(3
Yey
",BERDIRI RILEKS,
2008,67.021,"BERDIRI RILEKS
(3
Nee,
",BERDIRI RILEKS,
2024,67.538,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
2039,68.038,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
2054,68.538,"BERDIRI RILEKS
(1
Nee
",BERDIRI RILEKS,
