participant_id,sumber,gerakan,rep,fase,mulai,selesai,cakupan,r_kiri,r_kanan,r_antar
P31,timestamp_manual,Agem Kiri,4,Gerak,358.981,361.82,1.0,0.599,0.752,0.0
P31,timestamp_manual,Agem Kiri,4,Tahan,361.32,366.231,1.0,0.229,0.663,-0.07
P31,timestamp_manual,Agem Kiri,4,Naik,365.731,368.229,1.0,0.329,0.742,-0.212
P31,timestamp_manual,Agem Kiri,4,Berdiri,367.729,376.229,1.0,0.527,0.577,0.007
P31,timestamp_manual,-,0,Tutup Mata,411.081,441.581,1.0,,0.19,
P31,timestamp_manual,-,0,Istirahat,103.553,275.116,1.0,0.826,0.565,0.056
P31,repo_video,Agem Kanan,1,Gerak,41.161,42.869,1.0,0.237,0.795,0.084
P31,repo_video,Agem Kanan,1,Tahan,43.369,44.869,1.0,0.408,0.501,-0.024
P31,repo_video,Agem Kanan,1,Naik,45.369,47.271,1.0,0.218,0.665,-0.006
P31,repo_video,Agem Kanan,2,Gerak,57.432,57.996,1.0,0.595,0.73,-0.011
P31,repo_video,Agem Kanan,2,Tahan,58.307,59.191,1.0,0.656,0.76,-0.158
P31,repo_video,Agem Kanan,2,Naik,59.631,63.338,1.0,0.321,0.772,-0.079
P31,repo_video,Agem Kiri,1,Tahan,73.698,76.072,1.0,0.468,0.526,0.182
P31,repo_video,Agem Kiri,1,Naik,76.572,83.071,1.0,0.388,0.509,-0.062
P31,repo_video,Agem Kiri,2,Gerak,88.476,88.943,1.0,0.409,0.844,0.029
P31,repo_video,Agem Kiri,2,Tahan,89.214,90.011,1.0,0.354,0.545,0.054
P31,repo_video,Agem Kiri,2,Naik,90.432,94.806,1.0,0.489,0.612,-0.019
P31,repo_video,Ngeed,3,Gerak,281.667,282.416,1.0,-0.045,0.866,0.014
P31,repo_video,Ngeed,3,Tahan,282.826,284.936,1.0,0.186,0.68,-0.043
P31,repo_video,Ngeed,3,Naik,285.294,285.801,1.0,0.293,0.795,0.011
P31,repo_video,Ngeed,4,Gerak,296.337,297.366,1.0,-0.031,0.835,0.16
P31,repo_video,Ngeed,4,Tahan,297.837,300.934,1.0,0.225,0.642,-0.028
P31,repo_video,Ngeed,4,Naik,301.345,302.094,1.0,0.533,0.536,0.18
P31,repo_video,Agem Kanan,3,Gerak,313.979,314.581,1.0,0.529,0.604,-0.259
P31,repo_video,Agem Kanan,3,Tahan,314.96,316.862,1.0,0.441,0.218,-0.276
P31,repo_video,Agem Kanan,3,Naik,317.223,317.739,1.0,0.734,0.602,-0.439
P31,repo_video,Agem Kanan,4,Gerak,329.43,330.666,1.0,0.353,0.21,-0.06
P31,repo_video,Agem Kanan,4,Tahan,331.116,332.049,1.0,0.442,0.757,0.241
P31,repo_video,Agem Kanan,4,Naik,332.499,336.193,1.0,0.386,0.629,-0.085
P31,repo_video,Agem Kiri,3,Gerak,346.759,347.595,1.0,0.205,0.845,0.335
P31,repo_video,Agem Kiri,3,Tahan,348.024,349.732,1.0,,0.89,0.112
P31,repo_video,Agem Kiri,3,Naik,350.232,352.135,1.0,0.471,0.717,-0.078
P31,repo_video,Agem Kiri,4,Gerak,361.385,361.715,1.0,-0.079,0.811,-0.338
P31,repo_video,Agem Kiri,4,Tahan,362.036,363.869,1.0,0.057,0.489,-0.015
