participant_id,task,subphase,n,start,end,rep
P05,NGEED,NAIK,19,26.154,29.153,2.0
P05,BERDIRI RILEKS,,20,29.153,37.152,
P05,AGEM KANAN,TURUN,14,37.152,40.152,1.0
P05,AGEM KANAN,TAHAN,8,40.152,42.151,1.0
P05,AGEM KANAN,NAIK,19,42.151,45.282,1.0
P05,BERDIRI RILEKS,,19,45.282,53.157,
P05,AGEM KANAN,TURUN,15,53.157,56.219,2.0
P05,AGEM KANAN,TAHAN,7,56.219,58.148,2.0
P05,AGEM KANAN,NAIK,20,58.148,61.218,2.0
P05,BERDIRI RILEKS,,20,61.218,69.217,
P05,AGEM KIRI,TURUN,14,69.217,72.216,1.0
P05,AGEM KIRI,TAHAN,7,72.216,74.188,1.0
P05,AGEM KIRI,NAIK,18,74.188,77.298,1.0
P05,BERDIRI RILEKS,,19,77.298,85.221,
P05,AGEM KIRI,TURUN,15,85.221,88.248,2.0
P05,AGEM KIRI,TAHAN,8,88.248,90.248,2.0
P05,AGEM KIRI,NAIK,21,90.248,93.331,2.0
P05,ISTIRAHAT UTAMA,,365,93.331,273.748,
P05,BERSIAP,,10,273.748,278.282,
P05,NGEED,TURUN,14,278.282,281.282,3.0
P05,NGEED,TAHAN,14,281.282,284.281,3.0
P05,NGEED,NAIK,14,284.281,286.246,3.0
P05,BERDIRI RILEKS,,20,286.246,294.252,
P05,NGEED,TURUN,14,294.252,297.251,4.0
P05,NGEED,TAHAN,8,297.251,299.252,4.0
P05,NGEED,NAIK,20,299.252,302.313,4.0
P05,BERDIRI RILEKS,,20,302.313,310.312,
P05,AGEM KANAN,TURUN,14,310.312,313.318,3.0
P05,AGEM KANAN,TAHAN,14,313.318,316.318,3.0
P05,AGEM KANAN,NAIK,12,316.318,318.318,3.0
P05,BERDIRI RILEKS,,20,318.318,326.316,
P05,AGEM KANAN,TURUN,14,326.316,329.316,4.0
P05,AGEM KANAN,TAHAN,8,329.316,331.316,4.0
P05,AGEM KANAN,NAIK,20,331.316,334.364,4.0
P05,BERDIRI RILEKS,,19,334.364,342.314,
P05,AGEM KIRI,TURUN,15,342.314,345.348,3.0
P05,AGEM KIRI,TAHAN,8,345.348,347.348,3.0
P05,AGEM KIRI,NAIK,20,347.348,350.347,3.0
P05,BERDIRI RILEKS,,20,350.347,358.381,
P05,AGEM KIRI,TURUN,13,358.381,361.352,4.0
P05,AGEM KIRI,TAHAN,15,361.352,364.38,4.0
P05,AGEM KIRI,NAIK,12,364.38,366.432,4.0
