pid,grup,kondisi,area,cakupan,n_win,offset,expo,alpha,theta,beta
P36,non-penari,EC,temporo-post,1.0,26,32.9623061692008,1.2622260961557974,0.6553255320959781,-0.8815794001455385,0.6657977698519012
P36,non-penari,EC,frontal,1.0,26,24.776723274239245,1.1930150914588822,1.6801823560731206,-1.5630864616431104,1.0986346119556336
P37,non-penari,EO,oksipital,1.0,19,36.244427650934924,1.5797341353607564,-0.5457468953646472,-0.3159413181353893,0.3496892329484028
P37,non-penari,EO,parietal,1.0,19,32.11796135157288,1.1814636987124656,-0.9048418571593206,0.34389186503496316,0.39806295566702443
P37,non-penari,EO,sentral,1.0,19,35.422895615521625,1.4853392760564184,0.6349104534250873,0.6424610635324118,0.4251312792115254
P37,non-penari,EO,temporo-post,1.0,19,35.76620936106269,1.5606408099388172,0.7886101555004215,-0.36928482501323856,1.0110273777137082
P37,non-penari,EO,frontal,1.0,19,36.114764355838766,1.4194513677754856,-0.24632276722470503,0.7189665533084089,1.0336131400478805
P37,non-penari,EC,oksipital,1.0,23,37.68536320857018,1.3090747859935092,1.7894175087434876,-0.3519596011866283,1.2376499081820522
P37,non-penari,EC,parietal,1.0,24,38.33627221195297,1.2334674544014625,1.0323873322592192,0.5686153593155835,1.0169797258753355
P37,non-penari,EC,sentral,1.0,20,37.06109852944169,1.38761388698156,1.6471296621136977,0.3464111014889282,0.7024817566460007
P37,non-penari,EC,temporo-post,1.0,22,37.03536174443447,1.4580749391268821,0.9168032910848849,-0.6545104539266933,0.7063121452665768
P37,non-penari,EC,frontal,1.0,22,37.66868870474183,1.5625267686150022,1.480880809861783,3.7508708831550597,0.8771735562527695
P38,non-penari,EO,oksipital,1.0,22,37.86014387416082,1.0322151651519706,2.4577497974673523,-0.09667698994001606,1.645434898979436
P38,non-penari,EO,parietal,1.0,26,37.182165033386184,1.0751254579505627,2.1139749861452746,0.7848825109775021,1.096888131609126
P38,non-penari,EO,sentral,1.0,26,33.73547826855523,0.8048752178776564,2.703972510483891,1.4642488911160494,1.202010735638136
P38,non-penari,EO,temporo-post,1.0,26,34.8445108921242,1.1057082014709234,1.8806309174614584,1.027591988890857,1.037423537702576
P38,non-penari,EO,frontal,1.0,26,36.51701351344242,1.2199775598570683,0.6928075515221339,0.7318224411386443,0.825408917838487
P38,non-penari,EC,oksipital,1.0,24,34.51790351035669,0.8128924664707007,3.406983545633489,0.11222910473021652,1.7321614232018114
P38,non-penari,EC,parietal,1.0,26,33.33035917611058,0.832780232014127,3.211545173217184,0.8003640782252036,1.2128296466789956
P38,non-penari,EC,sentral,1.0,26,30.681865828084554,0.6510753260621966,3.4878781420318115,0.5682972162707134,1.3106709134277086
P38,non-penari,EC,temporo-post,1.0,26,32.27817965692563,1.0538025673829385,2.3950814215493805,0.21135060931883498,0.9247986136657148
P38,non-penari,EC,frontal,1.0,26,29.40724722042258,0.80267298653994,1.1706991274469254,0.1614702478776031,0.9207077010645637
