jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
EEG,TURUN,parietal,beta_periodic_db,17,11,0.30313669133955207,0.6554662191328355,-0.6980068965986306,0.08598596274687278,False,0.5167879680285435
EEG,TAHAN,oksipital,mu_periodic_db,17,11,0.118844431556549,1.046509678818103,-0.6151185313227872,0.08846621228601549,False,0.5167879680285435
EEG,TURUN,parietal,offset_change,17,11,7.1951930008739815,11.739315025387667,-0.6390813894863896,0.0900148314362814,False,0.5167879680285435
EEG,TURUN,sentral,offset_change,17,11,7.347299317263262,12.080985336878895,-0.6391528601069737,0.09192862892815439,False,0.5167879680285435
EEG,TURUN,frontotemporal,offset_change,17,11,8.366187061212255,12.42129807487426,-0.5935693365453628,0.10311519046218803,True,0.5341947965482554
EEG,TURUN,parietal,exponent_change,17,11,0.08018122373200587,0.3253394031237905,-0.612305836016629,0.10413886957604947,False,0.5341947965482554
EEG,PRA,frontopolar,beta_periodic_db,17,11,0.5580903879033466,0.2917351487809714,0.6320680233440472,0.10479752940950426,True,0.5341947965482554
EEG,TURUN,frontotemporal,theta_periodic_db,17,11,0.2256491171231317,0.9619177995319338,-0.6083464070070584,0.10570468226615995,True,0.5341947965482554
EEG,TURUN,frontopolar,theta_periodic_db,17,11,0.4337889081196673,1.0363073807347125,-0.6051271859122789,0.11398974785929822,True,0.5341947965482554
EEG,TAHAN,sentral,exponent_change,17,11,0.05055386712388501,0.2506346890406397,-0.6436317853285635,0.11572050411833537,False,0.5341947965482554
EEG,TURUN,frontotemporal,mu_periodic_db,17,11,0.326864532484029,1.0878756496505184,-0.5903948971232426,0.11692630612828048,True,0.5341947965482554
EEG,NAIK,parietal,beta_periodic_db,17,11,0.47653894364319066,0.8579522400205518,-0.6172359740030852,0.11893810343958428,False,0.5341947965482554
EEG,PRA,oksipital,mu_periodic_db,17,11,0.30626618796498034,1.3298710713101949,-0.6322571868609587,0.11949952525886125,False,0.5341947965482554
EEG,NAIK,frontal,beta_periodic_db,17,11,0.3552894396722892,0.7917517455244699,-0.6409815236367172,0.12070747806619234,False,0.5341947965482554
EEG,TAHAN,temporal,offset_change,17,11,4.234936504081291,8.651240101043992,-0.6116101488705956,0.12940058813972355,True,0.5595368442567032
