jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
EEG,POST,temporal,offset_change,23,15,9.250690627743293,11.273816429358817,-0.2942768002972821,0.37550025855806934,True,0.7601507753178636
EEG,NAIK,sentral,exponent_change,23,15,0.07805039789060449,0.1874987238795475,-0.28761399041925306,0.3793759541146935,False,0.7601507753178636
EEG,PRA,temporal,offset_change,23,15,7.340168111919459,9.317856814714412,-0.29373226386971174,0.3800753876589318,True,0.7601507753178636
EEG,PRA,temporal,theta_periodic_db,23,15,0.8478434726205385,1.1779174812090436,-0.2712600683539961,0.38679285656111834,True,0.7660087919734488
EEG,POST,sentral,offset_change,23,15,10.42498828522648,12.287707286600758,-0.28712855109135604,0.39036986514031524,False,0.7660087919734488
EEG,POST,oksipital,theta_periodic_db,23,15,1.380787401671582,1.8043369827413824,-0.2701539193353151,0.4006677175419867,False,0.7660636726258524
EEG,PRA,sentral,theta_periodic_db,23,15,0.886778318383289,1.1518279648328271,-0.2618659728616015,0.4066560505004351,False,0.7660636726258524
EEG,NAIK,temporal,beta_periodic_db,23,15,0.44345335332905184,0.19515323912638685,0.27766669541257244,0.4084946787422549,True,0.7660636726258524
EEG,TURUN,frontal,beta_periodic_db,23,15,0.23633725226805904,0.41845911549712655,-0.28986054168700964,0.4107457735323512,False,0.7660636726258524
EEG,POST,temporal,mu_periodic_db,23,15,0.8123832593668475,1.249004024053775,-0.27379411900749506,0.41120578159531995,True,0.7660636726258524
EEG,TURUN,temporal,mu_periodic_db,23,15,1.0625010391911254,1.3424167591869864,-0.25081055196937047,0.4181191240024167,True,0.7660636726258524
EEG,POST,frontal,beta_periodic_db,23,15,0.24886544639849362,0.08878773494141065,0.26222221223201936,0.41965839280329836,False,0.7660636726258524
EEG,NAIK,parietal,offset_change,23,15,8.44565442873449,6.852408098726149,0.25999677866694987,0.4198618205737845,False,0.7660636726258524
EEG,TURUN,frontal,theta_periodic_db,23,15,0.39097899188759255,0.7375311759211621,-0.26488957817705183,0.4275297046021884,False,0.7670326003066772
EEG,NAIK,frontotemporal,theta_periodic_db,23,15,1.427201938735452,1.0016164277937893,0.2613417560763052,0.4283827204188589,True,0.7670326003066772
EEG,POST,parietal,beta_periodic_db,23,15,0.31314881263902644,0.16487456113438897,0.25381166847690084,0.43592958218120315,False,0.7670326003066772
EEG,PRA,frontotemporal,offset_change,23,15,7.9459066739746556,9.594953115200907,-0.2609743243003891,0.43829786229367734,True,0.7670326003066772
EEG,PRA,frontopolar,exponent_change,23,15,0.4084166624245064,0.3219397740300281,0.2553905059752437,0.43956640740748504,True,0.7670326003066772
EEG,NAIK,parietal,exponent_change,23,15,0.19097638358976662,0.2786993555485238,-0.24958448390695848,0.4425188078692368,False,0.7670326003066772
EEG,TAHAN,frontopolar,exponent_change,23,15,0.1956505273800823,0.2854276921134533,-0.24105462316010054,0.4474701846555743,True,0.7692049455236318
EEG,NAIK,oksipital,theta_periodic_db,23,15,0.6766580616090955,1.0214953530296744,-0.2457380424408012,0.4542970470632808,False,0.7745392277800196
